CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC55001,The Anglican Diocese of Wellington Group,18 Eccleston Hill, ,Thorndon,Wellington,6011,New Zealand,-41.2758234,174.7768647
CC55111,Hospice Taranaki Group,5 David Street, ,Westown,New Plymouth,4310,New Zealand,-39.073632,174.0581533
CC55142,Pisa Alpine Charitable Trust Group,Level One,311 Hawthorne Drive,Frankton,Queenstown,9300,New Zealand,-45.0102658,168.7464037
CC55187,Wai-Ora Group,48 Watsons Road, ,Harewood,Christchurch,8051,New Zealand,-43.4763202,172.5686836
CC55358,NCWNZ National Group,Level 4,Central House 26 Brandon Street,Wellington Central,Wellington,6011,New Zealand,-41.2832069,174.7764169
CC55368,Playcentre Aotearoa,Suite 1,Level 3,Porirua City Centre,Porirua,5022,New Zealand,-41.1336343,174.8398842
CC55373,Ngati Tuwharetoa Fisheries Group,81 Horomatangi Street,Taupo 3330, ,Taupo,3330,New Zealand,-38.6877278,176.0739407
CC55383,Auckland Deaf Society Incorporated Group,16 Hillsborough Road, ,Hillsborough,Auckland,1042,New Zealand,-36.9102846,174.7625033
CC55400,Trade Aid,174 Gayhurst Road, ,Dallington,Christchurch,8061,New Zealand,-43.5104761,172.6745385
CC55444,Wright Family Charity Group,609 Cameron Road, ,Tauranga South,Tauranga,3112,New Zealand,-37.6999223,176.1572775
CC55464,Annesbrook Group,40 Saxton Road West, ,Stoke,Nelson,7011,New Zealand,-41.3226767,173.2134344
CC55488,Equippers Auckland Group,13 Gladding Place, ,Manukau,Auckland,2104,New Zealand,-36.9905138,174.8864164
CC55493,Kokiri Trust Group,121 Hakiaha Street,, ,Taumarunui,3920,New Zealand,-38.8832153,175.2656921
CC55521,North Haven Hospice Group,24A Takahe Street, ,Tikipunga,Whangarei,112,New Zealand,-35.6956835,174.3326433
CC55589,Tupoho Trust Group,107 Bell Street,, ,Whanganui,4500,New Zealand,-39.9243098,175.0441843
CC55661,Te Arawa River Iwi Trust Group,1108 Fenton Street,Rotorua 3010, ,Rotorua,3010,New Zealand,-38.1334518,176.2542212
CC55704,The Soil & Health Association of New Zealand Incorporated Group,415 Belvedere Road,RD 1,Carrington,Carterton,5791,New Zealand,-41.0131319,175.5079443
CC55728,Wastebusters Group,Corner Ballantyne And Riverbank Roads,, ,Wanaka,9343,New Zealand,-44.7119677,169.1554596
CC55741,Raleigh Street Christian Centre Group,24-26 Raleigh Street, ,Leamington,Cambridge,3432,New Zealand,-37.9054174,175.4748362
CC55804,VOM Ministries Group,,,,,,New Zealand,-40.900557,174.885971
CC55885,GYT Group,92 Bader Drive,12B Waddon Place,Mangere,Auckland,2022,New Zealand,-36.9708967,174.7992455
